insee,commune_name,total_tiles,total_population,total_households,avg_income_person,mean_poverty_rate,avg_income_person_popweighted,mean_poverty_rate_hhweighted
67034,Berstett,4,1523.0,607.3,28304.19,6.3774999999999995,28974.535328299407,4.9558669520829906
28118,Croisilles,1,89.0,34.1,28973.38,0.0,28973.380000000005,0.0
91494,Le Plessis-Pâté,1,1937.5,774.0,28971.05,6.2,28971.05,6.2
21686,Villaines-les-Prévôtes,1,45.5,18.0,28969.41,0.0,28969.41,0.0
68081,Saint-Bernard,1,245.5,84.0,28965.65,7.14,28965.65,7.14
38248,Montaud,4,292.5,110.80000000000004,27672.5925,3.3025,28964.570102564106,3.3382310469314076
95028,Attainville,2,1458.5,509.8,29477.465,2.28,28959.54185807336,3.7299333071792855
31331,Maureville,4,95.0,37.7,28081.9,10.915,28944.32926315789,8.487533156498674
63263,Orcines,12,3062.0,1278.9,29524.590833333335,5.300833333333333,28940.235940561724,6.098563609351786
13111,Vauvenargues,14,874.0,374.3,27128.605,17.18,28939.518180778035,11.968330216403958
78239,Follainville-Dennemont,2,863.0,336.0,29517.0,5.075,28938.68009269988,4.015535714285714
01045,Birieux,5,200.0,71.1,29679.288,1.574,28937.41185,7.028762306610409
10110,Courteranges,1,9.0,3.3,28931.06,6.06,28931.06,6.06
28372,Senantes,2,133.0,58.7,29054.225,7.74,28930.48857142857,6.819097103918228
31117,Castelmaurou,5,1741.0,651.9,29664.498,4.88,28927.691766226304,5.33790612057064
44194,Sautron,8,4800.5,2108.0,29397.6875,4.36375,28926.799130298925,6.039262808349147
66012,Baho,1,26.0,8.2,28925.87,17.07,28925.87,17.07
25245,Fontain,9,391.0,156.8,26441.555555555555,8.698888888888888,28924.761214833765,4.654400510204082
57370,Kœnigsmacker,3,728.5,277.8,28329.88,5.97,28920.110089224432,6.299510439164866
64315,Laroin,1,40.0,17.0,28917.74,0.0,28917.74,0.0
31215,Gauré,4,163.5,62.1,28312.4375,6.255,28913.648287461776,5.796908212560387
57733,Volstroff,2,1146.0,389.1,28885.864999999998,6.7,28912.853163176267,6.659799537393987
56107,Larmor-Plage,7,7189.5,3638.7,29944.568571428572,6.6499999999999995,28912.244583072534,7.140135213125568
01252,Mogneneins,2,269.0,92.1,28614.235,2.255,28911.518550185876,2.1675461454940286
74232,Saint-Eustache,2,172.5,75.1,29933.225,5.13,28910.422898550725,4.125672436750999
77175,Évry-Grégy-sur-Yerre,5,2709.5,911.3000000000001,28916.435999999998,2.622,28909.14737405425,3.2919554482607256
91671,Villeneuve-sur-Auvers,1,91.0,28.0,28906.54,0.0,28906.54,0.0
06128,Saint-Paul-de-Vence,1,610.5,269.09999999999997,28904.38,16.8,28904.380000000005,16.8
38200,Jarrie,3,2473.5,999.0999999999999,28301.056666666667,6.296666666666667,28900.521392763287,6.203084776298669
69297,Ternay,1,1668.0,631.0,28898.79,6.34,28898.79,6.34
10236,Mesnil-Lettre,1,5.0,2.2,28896.4,9.09,28896.4,9.09
74191,Morzine,11,1446.5,657.1,29784.06272727273,9.735454545454546,28893.345053577603,11.733268908841879
16304,Saint-Brice,2,316.5,146.3,29719.434999999998,3.685,28890.215165876783,6.901503759398496
78517,Rambouillet,15,21099.5,9359.0,30024.236666666668,6.308666666666666,28888.23517381929,7.173962282295117
01449,Villette-sur-Ain,5,132.5,51.8,29468.370000000003,9.28,28883.50071698113,10.619362934362933
62281,Echinghen,1,110.5,52.00000000000001,28879.77,3.85,28879.77,3.8500000000000005
02303,Fayet,1,469.0,181.0,28878.22,5.52,28878.22,5.52
21569,Saint-Romain,3,198.0,85.7,30663.163333333334,13.193333333333333,28877.908434343433,6.884690781796965
57439,Manderen-Ritzing,3,175.5,70.1,29453.813333333335,7.033333333333332,28877.814245014248,8.12965763195435
38206,Laval,4,628.5,228.5,28181.1975,4.6425,28874.40693715195,3.80601750547046
14534,Reux,1,37.0,13.1,28871.32,15.27,28871.320000000003,15.27
74010,Annecy,33,104605.5,51260.7,31532.825454545455,8.314848484848484,28870.70126236192,10.13708574014791
68225,Munchhouse,4,1404.0,576.8,31422.177499999998,2.1125,28865.13841880342,4.332694174757282
91106,Breux-Jouy,1,134.0,50.900000000000006,28863.31,4.52,28863.31,4.52
31557,Tournefeuille,7,12158.0,5189.9,30599.38857142857,7.927142857142857,28859.59681362066,8.608907878764525
74202,Nonglard,1,486.5,199.00000000000003,28857.7,5.98,28857.7,5.98
21661,Velars-sur-Ouche,2,82.0,32.5,28854.83,4.325,28854.83,4.307600000000001
77453,Sivry-Courtry,9,1142.0,419.59999999999997,28868.76111111111,1.3422222222222222,28853.97802101576,2.8856911344137277
